model,perturbation,mean,std,count
resnet50,rotation,0.42748007696510304,0.053985379871068884,2657
resnet50,noise,0.415475642100649,0.06962573838592474,1684
resnet50,brightness,0.5286152303495775,0.11505420258207585,2798
resnet50,translation,0.4891405322805144,0.04778311797411784,1383
resnet50,jpeg,0.5123042243165475,0.09033582993899604,829
densenet121,rotation,0.42741950052595196,0.0416528019932076,797
densenet121,noise,0.4320913658422582,0.05749719751337608,646
densenet121,brightness,0.5262381343083565,0.10800748913845518,1406
densenet121,translation,0.465720185460915,0.0438778049252795,1401
densenet121,jpeg,0.49484771776809594,0.0908581822483008,1133
convnext_tiny,rotation,0.44829258268823674,0.05601676124493521,553
convnext_tiny,noise,0.4224297901341965,0.06450478196876927,286
convnext_tiny,brightness,0.5564666343157433,0.11996668950671219,1299
convnext_tiny,translation,0.49153009863033187,0.0585994636162148,1394
convnext_tiny,jpeg,0.47556484562243906,0.0857468859223496,489
vit_b_16,rotation,0.4287450253662056,0.05382443693691221,791
vit_b_16,noise,0.41271302233571594,0.060817938924992716,460
vit_b_16,brightness,0.5171821581465857,0.10926513913620844,1260
vit_b_16,translation,0.44489261657656026,0.049122162741518184,1135
vit_b_16,jpeg,0.48916455013538473,0.09217256131209353,804
